,Similar Movies ID
305,"857702,51052"
306,"857702,49012"
307,"857702,49013"
308,"857702,49022"
309,"857702,49047"
310,"768744,284274"
311,"768744,286567"
312,"768744,297761"
313,"768744,297762"
314,"768744,290271"
315,"784500,9802"
316,"784500,9804"
317,"784500,9806"
318,"784500,9815"
319,"784500,9816"
320,"293660,13932"
321,"293660,13995"
322,"293660,12556"
323,"293660,13805"
324,"293660,13836"
325,"613583,2330"
326,"613583,2332"
327,"613583,2334"
328,"613583,2335"
329,"613583,1824"
330,"43074,55721"
331,"43074,49521"
332,"43074,49524"
333,"43074,59429"
334,"43074,65086"
335,"532067,49017"
336,"532067,47292"
337,"532067,50253"
338,"532067,42360"
339,"532067,44725"
340,"214756,239"
341,"214756,285"
342,"214756,153"
343,"214756,163"
344,"214756,165"
345,"410113,64328"
346,"410113,65759"
347,"410113,54113"
348,"410113,60405"
349,"410113,54507"
350,"572154,75624"
351,"572154,75629"
352,"572154,73456"
353,"572154,68555"
354,"572154,73245"
355,"98566,65291"
356,"98566,64682"
357,"98566,56292"
358,"98566,59961"
359,"98566,59965"
360,"330457,3170"
361,"330457,1417"
362,"330457,1491"
363,"330457,920"
364,"330457,950"
365,"883648,14844"
366,"883648,14849"
367,"883648,20453"
368,"883648,21956"
369,"883648,21972"
370,"800497,2907"
371,"800497,1620"
372,"800497,1645"
373,"800497,1696"
374,"800497,1700"
375,"8871,772"
376,"8871,778"
377,"8871,792"
378,"8871,1911"
379,"8871,1885"
380,"335797,1267"
381,"335797,950"
382,"335797,953"
383,"335797,2062"
384,"335797,3170"
385,"4564,75656"
386,"4564,73935"
387,"4564,76025"
388,"4564,74725"
389,"4564,61979"
390,"763532,6557"
391,"763532,544"
392,"763532,1824"
393,"763532,5966"
394,"763532,9007"
395,"106646,22824"
396,"106646,22881"
397,"106646,13008"
398,"106646,13078"
399,"106646,15357"
400,"811367,406563"
401,"811367,367326"
402,"811367,401887"
403,"811367,326359"
404,"811367,403052"
405,"585,14836"
406,"585,20453"
